crop_type,growth_stage,soil_moisture,air_humidity,temperature,irrigate
tomato,vegetative,50.9,88.8,29.2,0
okra,vegetative,44.3,92.9,22.7,1
okra,vegetative,46.4,70.8,32.0,1
okra,vegetative,44.7,50.9,34.9,1
okra,seedling,62.8,63.8,33.5,1
okra,vegetative,25.7,70.5,32.2,1
chili,fruiting,57.1,58.3,35.0,0
okra,flowering,44.7,74.6,32.2,1
tomato,seedling,63.3,83.8,31.9,0
chili,vegetative,29.2,67.0,29.5,1
chili,vegetative,63.6,78.2,24.9,0
okra,vegetative,67.4,57.2,33.6,0
okra,flowering,63.4,82.2,30.6,0
chili,fruiting,23.8,77.5,30.9,1
chili,flowering,56.6,63.0,33.4,0
tomato,vegetative,63.7,69.4,31.3,0
okra,seedling,27.5,81.9,24.0,1
chili,seedling,44.7,88.5,26.1,0
chili,fruiting,50.1,64.3,32.2,0
okra,flowering,57.8,67.7,31.2,1
chili,flowering,47.5,76.9,29.9,0
tomato,flowering,62.1,63.3,33.2,0
tomato,fruiting,78.6,73.7,28.9,0
tomato,fruiting,75.2,74.7,29.1,0
okra,seedling,12.0,79.8,29.3,1
tomato,vegetative,53.6,85.5,29.4,1
tomato,seedling,55.7,65.9,34.3,1
chili,vegetative,20.5,70.5,33.0,1
okra,flowering,51.3,73.7,28.9,0
chili,seedling,62.5,58.7,33.5,0
okra,seedling,34.8,71.1,32.4,1
okra,vegetative,54.7,69.4,31.7,0
tomato,flowering,45.2,85.4,20.9,0
okra,flowering,40.6,91.6,21.4,1
chili,seedling,65.7,83.0,25.6,0
chili,seedling,37.4,69.2,29.9,0
tomato,fruiting,64.5,68.3,35.8,0
chili,flowering,18.8,70.2,32.3,1
okra,fruiting,76.1,97.0,24.1,0
chili,fruiting,53.4,62.8,34.6,0
tomato,fruiting,55.4,63.7,33.7,0
chili,flowering,53.1,83.7,22.9,0
okra,fruiting,30.3,71.7,30.3,1
okra,vegetative,66.6,82.5,26.0,0
tomato,fruiting,53.5,60.3,31.1,0
okra,vegetative,47.1,66.3,31.0,1
okra,vegetative,43.1,69.6,30.3,1
tomato,flowering,49.9,73.3,30.8,0
okra,vegetative,59.7,67.6,33.2,0
chili,seedling,48.6,75.0,27.4,1
chili,fruiting,54.1,73.8,30.8,0
chili,vegetative,44.9,95.2,20.4,0
okra,fruiting,57.2,53.7,29.5,0
okra,vegetative,44.1,84.4,23.9,0
okra,fruiting,81.2,79.4,30.3,0
okra,flowering,28.0,69.3,26.6,1
okra,fruiting,67.7,93.8,21.8,0
tomato,fruiting,77.2,81.9,30.7,0
tomato,seedling,46.1,63.2,31.6,1
okra,fruiting,81.2,61.9,34.2,0
chili,fruiting,58.9,57.7,32.3,0
tomato,flowering,71.6,75.4,33.4,0
tomato,fruiting,58.4,67.8,31.6,0
chili,fruiting,42.0,73.2,29.8,0
chili,flowering,42.1,76.2,32.3,0
tomato,vegetative,63.5,71.7,32.2,1
tomato,fruiting,77.6,65.1,30.5,0
tomato,seedling,60.5,72.5,28.2,0
chili,flowering,32.2,80.2,28.3,1
tomato,fruiting,69.5,66.0,30.8,0
chili,fruiting,57.9,54.6,31.2,0
chili,vegetative,54.2,69.0,31.3,1
chili,seedling,55.4,55.1,32.8,1
okra,vegetative,46.2,98.0,23.4,0
chili,fruiting,32.0,72.6,30.5,1
okra,flowering,37.8,59.3,32.7,0
okra,seedling,27.1,68.1,29.8,1
okra,seedling,53.3,62.9,28.6,0
okra,vegetative,48.8,72.5,26.9,0
chili,vegetative,38.8,98.0,19.2,0
chili,seedling,12.0,95.1,27.2,1
tomato,vegetative,40.5,68.3,33.7,1
chili,vegetative,60.7,81.3,26.2,0
tomato,seedling,48.7,67.3,30.9,1
okra,seedling,55.0,91.2,19.9,0
okra,flowering,30.5,86.5,30.2,1
tomato,fruiting,78.1,60.7,34.2,0
okra,fruiting,48.0,85.7,30.6,1
tomato,flowering,62.1,76.9,32.2,0
okra,seedling,82.6,57.4,31.2,0
tomato,fruiting,79.2,60.6,32.9,0
chili,fruiting,40.7,62.7,32.1,1
chili,vegetative,36.7,66.7,32.1,0
okra,vegetative,45.4,86.6,24.2,0
chili,seedling,52.1,95.2,29.3,0
okra,fruiting,48.5,80.3,23.9,0
okra,fruiting,44.5,73.1,30.4,0
tomato,seedling,78.5,74.4,31.0,0
okra,flowering,48.4,82.3,26.1,0
okra,vegetative,82.2,74.8,29.4,0
chili,flowering,46.3,54.6,34.2,1
okra,seedling,75.0,74.2,29.6,0
okra,fruiting,55.0,91.4,23.9,0
okra,vegetative,63.5,74.6,30.1,0
okra,fruiting,39.9,73.9,31.0,1
chili,seedling,33.0,72.1,34.1,1
tomato,flowering,64.4,75.0,31.6,0
okra,vegetative,63.8,75.6,29.0,0
chili,fruiting,45.6,59.4,31.9,0
chili,flowering,27.0,79.8,25.4,1
tomato,flowering,39.0,70.1,30.4,1
tomato,seedling,38.0,85.8,25.4,1
tomato,flowering,33.3,80.0,25.7,1
okra,seedling,51.5,63.2,31.1,0
tomato,vegetative,73.8,64.0,30.1,1
tomato,seedling,57.8,62.6,29.3,0
okra,seedling,18.4,64.2,32.7,1
chili,flowering,42.3,59.8,31.0,1
chili,seedling,42.7,56.3,33.7,1
okra,flowering,79.3,90.8,21.6,0
chili,fruiting,24.6,57.2,32.4,1
tomato,seedling,52.5,88.4,24.7,1
okra,flowering,73.9,69.7,33.2,0
tomato,vegetative,64.3,87.3,22.5,0
chili,vegetative,52.9,69.1,30.1,0
okra,flowering,51.6,94.2,22.8,0
okra,flowering,54.6,70.7,28.7,0
chili,flowering,55.9,75.5,26.6,0
okra,seedling,38.7,73.7,32.9,1
chili,flowering,57.3,80.6,29.2,0
chili,vegetative,25.8,68.7,33.2,1
tomato,vegetative,62.6,96.9,22.8,1
chili,fruiting,47.5,56.0,31.0,0
chili,seedling,36.4,75.4,32.6,1
okra,vegetative,49.7,68.7,32.6,0
tomato,vegetative,49.3,91.3,25.3,1
okra,seedling,35.0,73.6,30.6,0
okra,fruiting,45.0,72.0,30.3,1
okra,vegetative,34.5,62.7,33.1,1
chili,flowering,49.5,68.5,32.6,1
tomato,vegetative,41.9,87.5,23.1,0
tomato,fruiting,68.0,74.3,31.7,1
okra,flowering,33.5,70.1,26.5,1
okra,vegetative,42.1,65.5,31.3,1
chili,fruiting,36.3,82.7,31.6,0
tomato,fruiting,76.6,60.4,33.1,0
tomato,flowering,62.6,76.1,27.9,0
chili,seedling,42.0,65.0,30.5,1
chili,flowering,52.0,72.7,30.9,0
tomato,flowering,28.5,64.4,31.2,1
okra,vegetative,49.4,84.4,24.7,0
chili,seedling,73.0,98.0,21.6,0
tomato,flowering,59.9,67.3,30.1,1
tomato,fruiting,59.0,78.9,29.6,0
chili,vegetative,52.7,70.4,33.1,1
okra,vegetative,62.5,73.0,32.8,0
okra,seedling,22.0,71.8,30.7,1
chili,flowering,21.4,94.5,30.3,1
tomato,fruiting,60.9,94.6,24.1,0
okra,fruiting,40.0,70.5,31.7,1
chili,vegetative,63.4,56.0,34.1,0
tomato,seedling,53.6,76.5,28.1,0
chili,vegetative,17.9,81.7,30.3,1
tomato,fruiting,40.2,92.6,26.7,1
tomato,seedling,19.5,73.0,33.9,1
chili,seedling,41.7,73.4,31.9,0
okra,fruiting,47.4,65.6,29.3,0
okra,flowering,44.1,84.2,26.7,1
okra,seedling,65.1,72.2,26.6,0
chili,seedling,61.8,57.5,31.8,0
tomato,vegetative,55.6,77.8,28.6,1
chili,flowering,15.1,85.3,26.3,1
okra,fruiting,58.6,70.5,33.3,0
tomato,fruiting,65.8,86.2,25.9,0
okra,vegetative,54.3,70.9,32.1,0
okra,vegetative,63.7,84.0,22.7,0
tomato,fruiting,41.7,64.3,33.0,1
okra,fruiting,78.1,51.5,34.2,0
okra,seedling,36.6,51.3,32.9,1
tomato,flowering,68.5,66.7,34.4,0
tomato,flowering,34.4,57.4,33.9,1
chili,seedling,32.0,98.0,21.1,1
okra,fruiting,71.2,88.9,26.5,0
tomato,vegetative,54.3,59.6,33.4,0
chili,flowering,56.8,69.1,33.0,0
tomato,vegetative,61.3,58.3,33.8,0
chili,flowering,43.5,57.6,30.8,1
chili,fruiting,64.1,84.3,25.6,0
tomato,vegetative,54.7,82.5,24.7,0
okra,vegetative,25.1,87.8,22.7,1
okra,fruiting,38.8,87.9,29.4,1
okra,fruiting,57.7,53.4,33.4,0
tomato,fruiting,63.5,89.6,24.2,0
tomato,fruiting,36.1,62.1,31.4,1
tomato,flowering,47.9,66.8,34.8,1
chili,fruiting,36.9,71.4,31.3,0
tomato,fruiting,52.9,91.1,23.6,0
okra,seedling,30.7,60.1,32.3,1
okra,flowering,41.2,59.5,33.1,0
okra,seedling,39.8,87.3,26.7,0
tomato,flowering,68.8,98.0,24.7,0
tomato,vegetative,69.3,74.5,30.5,0
okra,vegetative,48.0,57.3,33.6,0
tomato,fruiting,52.5,91.3,23.4,1
chili,flowering,47.0,86.8,31.1,0
okra,flowering,38.6,82.4,26.3,0
tomato,fruiting,41.9,87.0,28.3,1
tomato,seedling,44.8,94.0,19.3,0
tomato,flowering,49.1,73.1,29.7,1
tomato,seedling,41.7,85.1,26.7,1
tomato,seedling,60.3,75.5,29.9,1
okra,seedling,60.2,65.2,30.8,0
chili,flowering,22.8,66.5,30.1,1
okra,flowering,50.4,95.2,23.7,0
okra,fruiting,46.9,94.7,24.5,1
okra,vegetative,54.8,73.9,33.7,1
tomato,fruiting,57.8,89.5,28.3,0
tomato,vegetative,37.6,71.1,30.9,1
okra,seedling,32.3,90.2,22.0,0
tomato,seedling,58.4,82.3,29.9,1
tomato,seedling,72.4,79.6,29.2,0
okra,vegetative,19.0,64.6,30.4,1
okra,vegetative,54.8,63.3,30.8,0
okra,fruiting,66.7,72.4,31.4,0
okra,seedling,47.9,64.7,32.6,0
tomato,vegetative,65.7,60.5,34.7,0
okra,fruiting,40.2,79.6,30.1,1
okra,seedling,48.3,98.0,21.7,0
okra,vegetative,27.3,84.7,28.8,1
okra,seedling,17.2,45.6,35.3,1
okra,flowering,63.2,69.9,31.7,0
chili,fruiting,31.2,68.3,33.6,1
tomato,seedling,51.6,49.7,34.8,0
chili,vegetative,25.6,88.6,21.7,1
tomato,vegetative,38.3,64.3,30.9,1
tomato,fruiting,55.6,70.8,30.7,0
tomato,fruiting,47.8,81.7,30.9,1
okra,seedling,55.3,91.0,28.3,0
chili,vegetative,51.3,77.3,25.8,0
chili,fruiting,49.5,78.9,28.9,0
okra,seedling,53.3,95.6,22.3,0
chili,fruiting,67.1,73.4,30.7,0
chili,seedling,30.1,60.3,36.0,1
tomato,flowering,57.2,69.8,31.9,1
okra,fruiting,65.9,87.2,28.8,0
chili,flowering,62.7,93.0,24.9,0
tomato,fruiting,38.1,75.4,25.9,1
okra,flowering,45.6,83.4,27.9,1
okra,seedling,69.0,90.6,25.2,0
tomato,flowering,65.1,70.4,31.7,1
tomato,flowering,60.7,96.1,23.7,0
tomato,vegetative,55.0,98.0,19.7,1
tomato,seedling,52.6,68.7,32.1,1
tomato,flowering,62.0,72.2,30.4,1
okra,flowering,46.5,62.8,28.2,1
chili,fruiting,44.4,79.1,27.1,0
okra,seedling,51.1,73.5,27.7,0
okra,flowering,40.5,61.4,31.1,0
chili,fruiting,52.4,72.3,34.1,0
chili,fruiting,85.8,72.8,31.3,0
tomato,fruiting,33.1,95.8,20.6,1
tomato,seedling,62.5,66.3,30.9,0
chili,seedling,34.4,71.9,31.1,1
tomato,flowering,66.1,81.4,29.2,0
tomato,vegetative,58.7,64.9,30.7,0
tomato,seedling,68.7,69.0,31.4,0
okra,seedling,66.5,80.1,29.4,0
chili,seedling,47.7,74.6,23.7,0
okra,vegetative,65.8,75.7,28.6,0
chili,flowering,12.2,63.5,32.4,1
tomato,seedling,80.3,70.1,30.6,0
chili,seedling,50.3,73.5,28.2,0
tomato,vegetative,73.1,85.8,25.1,0
okra,fruiting,32.9,98.0,23.7,1
tomato,fruiting,46.4,57.1,35.3,1
chili,vegetative,47.0,75.5,29.6,0
okra,seedling,49.8,83.6,31.2,1
chili,seedling,49.0,74.6,27.6,0
chili,fruiting,60.2,94.0,26.5,0
chili,vegetative,20.3,86.4,24.5,1
okra,seedling,63.6,86.5,29.4,0
tomato,fruiting,58.1,74.6,31.3,0
chili,flowering,42.1,75.4,29.7,1
okra,vegetative,29.4,70.8,30.5,1
chili,vegetative,52.0,93.2,20.0,0
chili,seedling,12.0,70.3,31.1,1
tomato,fruiting,67.1,84.8,27.6,0
tomato,fruiting,37.1,91.6,22.3,1
okra,seedling,50.7,63.6,32.7,0
chili,flowering,43.3,96.1,19.9,0
tomato,seedling,74.4,82.0,29.0,0
chili,vegetative,42.5,77.4,31.5,0
chili,flowering,35.3,70.1,29.1,1
chili,seedling,37.9,61.1,32.7,1
okra,flowering,67.8,70.5,31.9,0
tomato,seedling,65.5,79.0,31.7,0
chili,flowering,39.6,95.3,24.1,1
chili,vegetative,41.7,87.9,20.3,0
okra,seedling,28.1,69.1,30.6,1
tomato,fruiting,63.4,78.4,25.1,0
tomato,vegetative,33.4,65.8,31.9,1
chili,fruiting,55.5,98.0,20.9,0
chili,fruiting,46.8,62.4,30.1,0
okra,seedling,83.4,69.9,26.5,0
chili,flowering,29.6,88.8,21.2,1
okra,vegetative,48.6,79.7,27.9,1
chili,flowering,70.2,77.3,29.8,0
tomato,flowering,74.7,75.2,30.1,0
tomato,vegetative,48.3,89.0,26.7,0
okra,flowering,53.1,73.9,24.5,0
tomato,vegetative,58.0,72.6,33.3,0
okra,fruiting,53.9,62.4,33.2,0
tomato,fruiting,48.2,78.8,29.5,1
tomato,seedling,56.7,65.8,29.0,0
tomato,flowering,35.6,66.4,32.4,1
chili,fruiting,46.9,95.2,21.6,0
chili,seedling,51.3,82.8,29.1,1
okra,flowering,46.8,60.4,30.4,0
chili,fruiting,22.4,91.6,22.4,1
chili,seedling,58.8,61.8,31.2,0
chili,flowering,50.1,78.5,29.0,1
okra,fruiting,39.8,72.9,32.0,1
chili,vegetative,41.1,92.9,25.4,0
tomato,seedling,37.0,70.5,29.3,1
chili,vegetative,30.6,95.3,23.5,1
okra,vegetative,42.5,98.0,18.4,0
tomato,flowering,75.2,54.4,32.6,0
okra,vegetative,41.0,74.9,30.8,0
chili,vegetative,54.0,76.2,31.2,0
chili,fruiting,37.5,88.0,23.1,1
tomato,flowering,61.5,80.6,23.4,0
okra,fruiting,48.0,72.4,32.7,1
tomato,flowering,70.2,62.2,30.8,0
tomato,fruiting,50.5,75.4,28.3,0
chili,seedling,23.0,62.7,33.8,1
chili,fruiting,25.7,74.4,31.3,1
chili,fruiting,37.6,61.7,32.6,1
tomato,seedling,40.5,61.6,32.4,0
tomato,vegetative,63.7,71.0,30.9,0
tomato,vegetative,51.5,81.8,29.1,0
chili,vegetative,78.2,83.8,31.9,0
chili,fruiting,20.7,60.4,30.6,1
chili,flowering,47.9,68.8,32.4,0
chili,seedling,29.2,63.6,30.5,1
okra,flowering,43.1,68.5,34.4,1
chili,fruiting,47.0,57.5,33.4,1
chili,vegetative,12.4,63.9,31.6,1
chili,fruiting,48.3,56.9,34.6,0
chili,flowering,71.6,88.3,23.5,0
chili,fruiting,38.7,69.0,32.3,0
tomato,fruiting,61.6,77.8,29.2,0
tomato,seedling,72.3,92.5,22.0,0
okra,fruiting,47.7,82.4,22.3,0
chili,seedling,36.9,75.2,30.9,0
chili,fruiting,13.1,69.5,31.1,1
tomato,fruiting,67.0,72.9,33.1,0
chili,vegetative,43.4,67.7,29.9,1
chili,seedling,30.8,74.5,24.7,1
chili,vegetative,46.8,72.1,30.0,0
chili,vegetative,36.8,98.0,21.7,1
chili,flowering,37.6,68.3,32.1,1
okra,seedling,58.5,68.3,31.1,1
chili,seedling,26.3,57.5,33.6,1
okra,vegetative,64.7,92.6,26.9,0
okra,fruiting,30.4,81.8,23.4,1
chili,vegetative,35.7,74.8,27.0,1
okra,vegetative,76.9,77.0,29.8,0
tomato,seedling,73.8,73.7,24.3,0
okra,vegetative,51.4,74.6,32.7,1
okra,vegetative,36.8,94.2,23.1,1
chili,vegetative,37.6,98.0,20.6,0
okra,vegetative,51.0,82.9,27.4,0
chili,vegetative,45.5,59.4,34.8,1
tomato,flowering,56.7,56.1,33.6,0
okra,vegetative,49.6,76.8,27.9,0
tomato,fruiting,55.0,59.6,32.4,1
tomato,flowering,37.8,71.9,31.6,1
chili,flowering,37.8,76.4,30.7,1
okra,flowering,62.8,83.6,29.7,0
chili,fruiting,25.8,95.5,21.8,1
chili,vegetative,42.3,94.2,23.9,1
tomato,fruiting,46.5,73.2,28.9,1
tomato,seedling,59.6,83.3,24.3,1
tomato,seedling,52.6,71.8,31.6,0
tomato,fruiting,78.7,81.5,25.3,0
okra,fruiting,57.1,69.9,31.8,1
okra,seedling,31.6,82.1,23.2,0
okra,flowering,59.4,83.3,23.2,0
tomato,flowering,47.2,70.9,32.4,1
tomato,seedling,49.9,87.3,26.6,1
tomato,flowering,62.4,66.3,29.7,0
chili,flowering,38.1,83.5,27.5,1
chili,flowering,57.5,81.1,25.1,0
chili,flowering,34.2,67.0,32.3,1
tomato,fruiting,49.3,80.0,30.9,0
okra,seedling,40.8,92.6,24.2,0
tomato,flowering,50.1,72.9,32.1,1
tomato,vegetative,73.4,82.6,31.3,0
okra,fruiting,58.8,60.4,32.9,0
okra,vegetative,73.9,55.6,34.0,0
tomato,fruiting,88.0,70.9,28.6,0
chili,flowering,30.6,69.7,30.4,1
okra,seedling,51.0,63.5,27.0,0
okra,fruiting,33.5,66.7,31.7,1
okra,seedling,39.1,65.8,31.2,1
chili,vegetative,36.2,68.2,33.9,1
chili,vegetative,30.2,95.6,21.7,1
okra,flowering,35.3,64.5,31.5,1
tomato,vegetative,56.0,70.6,32.4,0
tomato,flowering,41.0,91.4,24.5,1
chili,flowering,56.8,71.8,28.1,0
okra,seedling,37.2,62.6,32.6,1
tomato,seedling,88.0,48.1,33.5,0
chili,vegetative,38.7,81.9,23.2,0
chili,seedling,46.0,53.4,35.6,0
chili,fruiting,26.9,64.6,33.4,1
okra,vegetative,73.9,60.0,32.3,0
tomato,vegetative,73.7,64.6,31.7,0
okra,flowering,54.2,65.8,29.3,0
chili,fruiting,26.1,71.3,30.9,1
okra,flowering,52.9,63.6,34.7,0
chili,flowering,29.3,67.0,33.3,1
tomato,fruiting,78.5,64.6,33.2,0
okra,fruiting,61.3,62.8,29.6,0
okra,seedling,51.3,61.7,32.6,0
tomato,seedling,23.9,89.5,22.1,1
okra,vegetative,36.2,67.0,31.1,0
okra,fruiting,59.6,60.4,35.1,0
chili,fruiting,62.0,98.0,23.3,0
okra,flowering,65.5,79.4,29.5,0
chili,flowering,22.7,60.1,32.2,1
chili,seedling,49.2,69.5,33.1,0
tomato,flowering,72.2,93.7,23.3,0
okra,seedling,26.8,79.4,25.0,1
tomato,flowering,57.9,95.6,23.1,1
okra,seedling,53.8,67.7,31.5,0
chili,seedling,40.8,73.7,25.6,1
chili,fruiting,19.1,72.6,31.2,1
tomato,fruiting,53.4,64.1,34.0,0
okra,flowering,45.4,64.6,32.5,1
tomato,flowering,55.9,86.5,24.3,1
chili,seedling,37.1,69.0,29.4,1
okra,flowering,43.8,93.5,23.3,1
okra,flowering,49.4,90.5,22.7,0
okra,flowering,56.2,91.9,22.7,0
okra,vegetative,45.7,89.1,24.4,0
chili,vegetative,39.3,60.7,31.5,0
tomato,fruiting,59.3,69.4,28.7,1
okra,vegetative,23.1,49.6,33.0,1
okra,fruiting,56.7,79.1,29.0,0
okra,fruiting,50.0,85.2,21.5,0
chili,fruiting,45.6,73.1,30.1,0
tomato,flowering,71.5,96.2,21.6,0
chili,seedling,17.7,73.7,31.2,0
chili,seedling,17.4,64.0,30.0,1
okra,flowering,53.8,72.5,29.8,0
chili,vegetative,44.9,92.3,26.8,1
tomato,seedling,60.4,78.1,32.5,1
tomato,fruiting,51.5,76.0,31.3,1
okra,fruiting,59.3,86.9,25.2,0
okra,vegetative,63.1,65.2,30.1,0
tomato,flowering,64.8,92.3,24.1,0
chili,vegetative,41.3,68.7,31.1,1
chili,vegetative,15.5,67.9,33.4,1
chili,flowering,55.8,77.6,26.2,1
okra,vegetative,67.1,61.6,33.9,0
tomato,fruiting,67.0,64.7,33.6,0
tomato,seedling,45.7,64.0,34.1,1
tomato,flowering,67.4,93.8,22.9,0
tomato,fruiting,70.0,63.1,32.1,1
okra,fruiting,71.8,63.5,29.9,0
okra,seedling,37.7,83.0,30.4,1
tomato,seedling,54.8,85.9,31.6,0
chili,flowering,55.5,75.0,30.3,0
tomato,fruiting,58.8,58.6,31.9,0
tomato,fruiting,42.4,86.9,22.1,1
tomato,fruiting,63.8,74.5,30.6,0
tomato,seedling,66.1,96.4,24.2,0
chili,flowering,46.2,75.7,25.3,0
okra,flowering,53.1,66.5,32.1,0
chili,flowering,41.4,76.7,28.9,1
okra,fruiting,70.7,76.3,30.9,0
chili,seedling,32.4,63.7,32.6,1
tomato,vegetative,49.8,80.3,22.5,1
tomato,vegetative,58.2,82.9,27.6,0
tomato,fruiting,70.3,79.4,30.4,0
tomato,seedling,37.0,75.0,28.8,0
okra,vegetative,31.7,79.6,28.3,1
okra,seedling,21.5,71.0,29.3,1
okra,seedling,50.5,79.4,24.9,0
chili,fruiting,29.3,76.1,31.4,1
chili,fruiting,39.6,64.1,34.5,1
chili,vegetative,54.3,65.2,34.3,0
chili,flowering,36.0,86.3,28.7,0
okra,flowering,53.2,59.5,32.2,0
okra,fruiting,45.8,64.8,31.5,1
okra,vegetative,59.4,66.7,32.8,0
chili,fruiting,51.7,68.5,30.0,0
tomato,vegetative,48.3,91.9,24.4,1
okra,flowering,47.6,69.7,30.6,1
chili,vegetative,59.6,66.3,29.7,0
okra,flowering,55.5,57.4,36.2,0
chili,vegetative,25.4,94.0,21.9,0
okra,fruiting,59.2,96.9,22.9,0
chili,flowering,29.8,72.7,31.0,1
okra,vegetative,69.8,77.3,29.4,0
okra,fruiting,64.3,81.4,27.4,0
tomato,flowering,62.1,63.6,33.0,0
chili,vegetative,47.2,64.4,31.2,0
chili,seedling,42.1,65.9,33.4,1
okra,fruiting,59.5,82.4,25.1,0
okra,fruiting,44.8,75.2,33.6,1
okra,flowering,53.3,92.6,25.7,0
chili,fruiting,57.2,83.5,27.4,0
chili,flowering,37.1,62.7,35.0,1
chili,seedling,36.4,70.1,30.7,1
okra,seedling,33.3,72.1,26.6,1
tomato,seedling,43.1,74.6,28.6,1
chili,seedling,19.4,88.9,23.7,1
tomato,flowering,68.2,86.7,25.0,0
okra,fruiting,75.3,68.7,32.8,0
chili,seedling,65.0,69.4,33.8,0
chili,flowering,22.2,69.2,29.4,1
chili,seedling,55.1,63.1,31.8,0
chili,vegetative,64.9,84.2,29.4,0
okra,fruiting,43.6,88.4,25.8,0
chili,fruiting,46.4,72.0,29.1,0
chili,fruiting,16.9,75.0,28.7,1
tomato,vegetative,61.7,62.6,33.7,0
tomato,fruiting,43.1,75.4,28.9,1
chili,fruiting,47.8,86.1,25.9,0
okra,vegetative,28.1,87.2,31.2,1
okra,vegetative,57.6,64.1,33.9,0
chili,seedling,59.3,88.4,25.5,0
chili,fruiting,34.0,59.4,30.5,1
chili,seedling,29.1,66.3,31.1,1
tomato,vegetative,27.8,74.4,32.7,1
tomato,vegetative,54.3,71.5,31.5,1
chili,seedling,36.9,42.9,29.5,0
tomato,fruiting,36.3,93.0,23.7,1
tomato,flowering,64.3,82.6,31.3,0
tomato,seedling,51.7,75.2,23.3,0
tomato,seedling,42.9,86.0,28.9,1
chili,seedling,37.2,51.8,30.5,1
okra,fruiting,65.0,79.3,29.9,0
okra,vegetative,58.4,68.9,31.4,0
chili,flowering,43.2,55.2,30.3,1
chili,seedling,53.7,81.8,27.5,0
tomato,seedling,41.7,87.3,27.3,1
tomato,flowering,58.5,75.7,29.7,1
chili,seedling,47.1,93.6,23.2,0
chili,flowering,38.4,70.2,29.8,0
tomato,fruiting,64.1,46.5,35.2,0
chili,vegetative,34.1,70.8,32.6,1
tomato,flowering,65.1,98.0,22.2,0
tomato,fruiting,65.7,69.6,34.3,0
okra,fruiting,12.0,65.5,27.2,1
chili,seedling,61.7,54.6,32.9,0
chili,seedling,12.0,53.6,35.2,1
okra,fruiting,41.4,69.3,26.8,1
okra,fruiting,64.4,76.2,28.6,0
okra,vegetative,45.6,88.1,24.9,0
chili,flowering,24.5,77.5,24.0,1
okra,flowering,34.7,69.5,33.4,1
chili,flowering,59.4,72.9,31.5,0
okra,fruiting,23.1,68.1,30.2,1
okra,vegetative,65.8,73.4,29.2,0
chili,fruiting,44.2,78.0,22.3,0
okra,seedling,33.3,85.6,23.8,1
chili,seedling,36.8,68.6,31.6,1
okra,fruiting,35.8,83.4,26.1,1
tomato,seedling,70.1,77.0,29.2,0
okra,fruiting,60.3,97.3,20.8,0
chili,vegetative,20.9,65.5,32.0,1
okra,vegetative,44.3,90.9,23.4,1
chili,seedling,32.9,98.0,22.4,1
okra,fruiting,68.1,78.2,27.5,0
tomato,vegetative,39.1,94.0,22.3,1
tomato,seedling,80.5,75.0,28.5,0
chili,vegetative,44.5,75.8,26.9,0
okra,seedling,33.7,71.2,32.0,1
okra,fruiting,40.5,59.1,33.8,1
chili,seedling,33.8,93.4,22.7,0
chili,vegetative,27.2,90.5,22.9,1
chili,vegetative,46.3,88.2,22.9,0
okra,seedling,32.8,89.2,22.4,1
chili,seedling,14.5,89.0,22.0,1
chili,flowering,39.7,66.9,27.6,1
okra,vegetative,24.8,68.4,32.7,1
tomato,seedling,47.5,89.5,23.9,1
okra,seedling,37.3,88.9,25.8,1
tomato,fruiting,45.8,61.2,33.0,1
tomato,flowering,86.0,80.0,32.3,0
okra,flowering,50.8,82.7,24.9,0
okra,fruiting,53.4,68.9,29.0,0
okra,seedling,25.1,65.7,30.0,1
okra,flowering,40.8,79.4,22.4,0
chili,fruiting,48.0,78.6,31.8,0
chili,seedling,30.7,83.5,29.4,1
tomato,flowering,70.7,83.1,27.5,0
tomato,fruiting,41.2,76.4,25.9,1
tomato,flowering,54.0,73.9,34.5,0
tomato,seedling,49.8,85.1,24.0,0
chili,flowering,47.3,83.5,24.9,1
okra,fruiting,41.0,98.0,22.5,0
okra,seedling,46.2,69.2,33.2,1
chili,flowering,41.7,91.1,28.7,1
okra,flowering,39.7,67.7,32.6,0
okra,vegetative,56.8,68.9,30.3,0
okra,seedling,53.3,68.9,29.7,0
chili,seedling,43.8,51.4,33.3,1
tomato,fruiting,52.0,68.1,31.0,1
okra,fruiting,61.2,88.0,27.0,0
tomato,vegetative,54.7,67.2,33.8,1
chili,fruiting,40.7,82.8,25.9,1
tomato,fruiting,59.5,63.9,30.6,0
okra,flowering,73.8,75.1,29.6,0
chili,flowering,26.2,79.6,30.0,1
tomato,fruiting,68.8,83.6,26.8,0
tomato,flowering,31.5,66.4,32.9,1
chili,fruiting,48.0,61.2,32.3,0
chili,fruiting,67.1,73.0,32.2,0
okra,seedling,56.8,49.4,30.5,0
tomato,flowering,60.4,91.2,23.6,0
okra,flowering,42.2,94.6,28.4,0
chili,fruiting,45.4,62.4,29.8,0
okra,vegetative,46.5,62.5,33.3,0
tomato,fruiting,47.0,75.4,28.8,0
tomato,vegetative,53.9,82.5,24.7,0
tomato,vegetative,60.8,73.3,32.6,0
chili,seedling,34.3,77.3,29.4,1
okra,vegetative,38.7,64.4,33.7,1
tomato,fruiting,39.0,79.7,29.4,1
chili,flowering,50.5,52.9,37.9,0
tomato,flowering,65.6,92.2,31.0,0
okra,fruiting,53.2,83.6,26.0,0
okra,vegetative,63.5,72.3,30.6,0
okra,flowering,51.2,53.5,32.8,0
okra,vegetative,55.5,81.9,24.7,0
chili,fruiting,49.3,83.0,29.0,0
